manor_id,geld,totalploughs
13038,1.5,4.0
13040,2.0,3.0
13031,2.08,5.0
13037,4.0,10.0
13039,1.0,0.0
13058,2.0,5.0
13047,1.0,4.0
13043,2.0,7.0
12985,5.25,8.0
13055,0.75,1.5
13063,0.62,1.5
13034,2.0,4.0
13157,3.0,4.0
13028,4.0,10.0
13053,1.0,3.0
13062,2.0,2.0
13129,3.31,1.0
13059,0.66,6.0
13029,2.5,3.0
13057,2.0,3.0
13051,1.0,
13052,1.0,2.0
12987,16.25,13.5
13049,3.0,6.0
13044,0.37,0.0
13045,1.5,7.0
13129,3.31,1.0
12987,16.25,13.5
13050,2.0,4.0
13129,3.31,1.0
12978,1.0,0.0
13054,4.0,5.0
13027,2.0,7.0
13056,4.0,6.0
13060,3.0,6.0
13066,1.5,5.0
13061,2.0,5.0
12987,16.25,13.5
13065,1.5,3.0
13060,3.0,6.0
13032,1.0,1.0
13030,6.0,19.0
13053,1.0,3.0
13044,0.37,0.0
13046,1.93,5.0
12987,16.25,13.5
13056,4.0,6.0
13035,2.0,3.0
13036,1.0,1.0
13059,0.66,6.0
12987,16.25,13.5
13033,1.93,3.0
12987,16.25,13.5
13042,2.0,10.0
13063,0.62,1.5
13067,1.5,4.0
13041,1.5,3.5
13062,2.0,2.0
13064,1.5,3.0
13048,2.0,3.0
13116,1.0,0.0
12971,23.0,9.0
12972,10.0,6.0
12970,18.0,18.0
13150,4.0,5.0
12971,23.0,9.0
12974,0.75,1.0
12971,23.0,9.0
13077,1.0,0.0
12971,23.0,9.0
13113,2.0,4.0
12971,23.0,9.0
12954,3.25,4.0
12970,18.0,18.0
12971,23.0,9.0
13112,2.0,5.0
12973,6.0,0.0
12975,1.25,2.0
12973,6.0,0.0
12973,6.0,0.0
12970,18.0,18.0
12954,3.25,4.0
12954,3.25,4.0
12972,10.0,6.0
13104,2.0,6.0
12976,2.0,5.0
12954,3.25,4.0
12971,23.0,9.0
13081,1.0,3.0
13115,2.0,0.0
12971,23.0,9.0
12973,6.0,0.0
13078,0.5,0.0
13151,2.0,3.0
12971,23.0,9.0
13150,4.0,5.0
12973,6.0,0.0
13114,3.5,1.5
12973,6.0,0.0
12970,18.0,18.0
12972,10.0,6.0
12973,6.0,0.0
12975,1.25,2.0
13075,3.0,0.0
13114,3.5,1.5
12973,6.0,0.0
12973,6.0,0.0
13080,2.0,0.0
12970,18.0,18.0
12972,10.0,6.0
13082,4.0,0.0
12970,18.0,18.0
13150,4.0,5.0
12972,10.0,6.0
13150,4.0,5.0
12973,6.0,0.0
12970,18.0,18.0
12973,6.0,0.0
13074,2.0,0.0
12971,23.0,9.0
12971,23.0,9.0
12970,18.0,18.0
12972,10.0,6.0
12971,23.0,9.0
13076,1.0,3.0
12972,10.0,6.0
12977,0.5,2.0
13149,1.0,0.0
13150,4.0,5.0
12971,23.0,9.0
12973,6.0,0.0
12972,10.0,6.0
13117,1.0,0.0
12973,6.0,0.0
13082,4.0,0.0
13079,1.5,4.0
12968,3.0,2.0
10831,3.0,0.0
13185,1.0,0.0
10837,1.0,0.0
13022,2.0,0.0
12967,2.0,0.0
10822,7.0,2.0
10823,6.0,6.0
11013,2.0,1.0
13186,0.75,0.0
10954,2.0,0.0
13184,1.0,0.0
12966,0.5,0.0
13187,0.5,0.0
12964,2.0,2.5
13023,1.0,0.62
12958,4.0,3.0
12957,17.0,8.0
13016,3.0,0.0
13155,4.0,2.0
12955,9.0,6.0
13009,4.0,6.0
13008,4.0,9.0
12957,17.0,8.0
12956,21.0,18.5
12956,21.0,18.5
12958,4.0,3.0
13006,0.5,1.0
12956,21.0,18.5
13007,2.0,5.0
12957,17.0,8.0
12958,4.0,3.0
13012,2.0,0.0
12957,17.0,8.0
12956,21.0,18.5
12955,9.0,6.0
13004,0.62,0.0
12956,21.0,18.5
12996,4.0,0.0
13145,0.5,1.0
13014,2.0,0.0
12957,17.0,8.0
12955,9.0,6.0
12955,9.0,6.0
12956,21.0,18.5
13011,4.0,0.0
12957,17.0,8.0
12958,4.0,3.0
13014,2.0,0.0
13015,6.0,2.0
